ID, UUID, Time (s), Siblings Left
354, 719487aa-d281-55b0-a8ff-6f84fab87195, 10, 0
525, abb30af4-b999-5f7b-9f7e-d3928a9ab931, 10, 0
25, 09578683-7a60-5964-b4cb-34478db8410a, 21600, 98
141, 2bbbe6aa-f59a-5d92-af9a-ceb11825a8b6, 21600, 2
206, 40e39225-010b-51de-8cec-03b428b7d4b6, 10, 0
269, 57a0c3d1-65bd-5c60-bc9c-c7fd69deba65, 21600, 98
397, 8366d7c5-36ae-59ac-b78b-c6eb6b3f7f5c, 21600, 98
53, 103999c7-aff9-5e79-872b-225aa0e38b2b, 21600, 3
413, 86507902-b752-56de-9ddf-a528975d696b, 21600, 2
619, cd3c13a3-8765-5f5a-9c28-7a8977212111, 10, 0
675, de24c570-777b-5eb7-8a6b-48ac81316e33, 170, 0
741, fa54d8b6-a5c4-5ad0-b865-755637919e7b, 10, 0
2, 0109b0ed-bf76-5588-adf0-1f30b51dcda6, 21600, 3
66, 13981d8d-7b2f-5d33-85a9-778007c3120a, 21600, 2
235, 4d310faf-f983-50fd-8324-9d1c40b912fa, 240, 0
257, 5341d06d-f338-5e8a-aa63-d72fe657033b, 10, 0
311, 64d3b887-f551-5648-a00f-c25dbed908b3, 12020, 0
345, 6f543147-29b0-55c2-a5ce-a0ec3cbaf008, 350, 0
398, 837fc175-70cd-54fc-97f2-3cdd473bb809, 10, 0
463, 966881a3-426b-58fb-a63a-89b46980fc61, 1040, 0
492, a09b6130-4e66-59db-a9d8-f6a41ba84d63, 10, 0
682, e0c0e55e-d36d-5a23-9f66-880c4e0f6751, 10, 0
728, f3277518-de87-5acf-886a-fbd9e278ab9c, 21600, 36
74, 15ae83bc-7f0a-5227-a4c5-f7a7176621dd, 21600, 98
77, 177d7fb0-989b-598c-9648-883ca9de52f4, 21600, 98
238, 4dcb4b4b-479a-5d64-8fce-fead0535cd6e, 170, 0
332, 6b0cc25e-9688-521c-ada6-7b711da20ff8, 10, 0
391, 80e36c36-8692-5d15-943d-a1c01593f283, 10, 0
445, 90ba3595-4363-5175-a908-c34f91f4e06f, 10, 0
472, 9b4f1dc1-3fde-5d43-9880-cafb7a5dfafb, 21600, 17
610, ca9367d7-df8d-55ef-a87d-547257baeadb, 21600, 36
59, 1110e38e-9f7d-54a9-b45e-df11f1c8c612, 12090, 0
70, 1458ab83-9aa5-523b-a569-917877127110, 21600, 4
274, 5ada83b8-0333-5d28-b363-4f9682939def, 10, 0
322, 6850b4ef-75e4-540e-8674-89a75f3403d6, 21600, 4
343, 6f12a313-4a81-5bfd-aae5-f8f8b2df54fa, 10, 0
384, 7baa4ac6-f9b5-5c4c-ae0b-9adcd2184dc0, 10, 0
408, 85b4d787-7989-5d68-9aab-cd9dbec9b6d9, 21600, 3
604, c6126f32-88a7-5943-aa66-6b0f19c91827, 21600, 25
